ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10897009,JA208112,04/01/2017 01:24:00 AM,046XX W 82ND ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0834,008,13,70,06,1146774,1849673,2017,04/08/2017 03:49:53 PM,41.743467437,-87.737794189,"(41.743467437, -87.737794189)"
10896997,JA208103,04/01/2017 01:27:00 AM,0000X W ELM ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1824,018,42,8,08B,1175930,1908090,2017,04/08/2017 03:49:53 PM,41.90316534,-87.629210442,"(41.90316534, -87.629210442)"
10900346,JA211974,04/01/2017 01:30:00 AM,017XX W 18TH PL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1234,012,25,31,26,1165031,1891118,2017,04/08/2017 03:49:53 PM,41.856831297,-87.669726514,"(41.856831297, -87.669726514)"
10899749,JA211488,04/01/2017 01:30:00 AM,020XX W FARGO AVE,4386,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,RESIDENCE,false,true,2424,024,49,1,26,1161174,1949268,2017,04/08/2017 03:49:53 PM,42.016479408,-87.682262816,"(42.016479408, -87.682262816)"
10897032,JA208160,04/01/2017 01:30:00 AM,057XX S TRIPP AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0813,008,13,62,06,1149014,1866235,2017,04/08/2017 03:49:53 PM,41.788873508,-87.729160302,"(41.788873508, -87.729160302)"
10896991,JA208105,04/01/2017 01:35:00 AM,003XX S HOMAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,1133,011,28,27,08B,1153780,1898021,2017,04/08/2017 03:49:53 PM,41.876005082,-87.71084027,"(41.876005082, -87.71084027)"
10897016,JA208122,04/01/2017 01:40:00 AM,058XX S ABERDEEN ST,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,RESIDENTIAL YARD (FRONT/BACK),true,false,0712,007,16,68,15,1169976,1866246,2017,04/08/2017 03:49:53 PM,41.788473759,-87.652299375,"(41.788473759, -87.652299375)"
10897003,JA208114,04/01/2017 01:40:00 AM,035XX N SOUTHPORT AVE,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,1922,019,44,6,06,1166346,1923429,2017,04/08/2017 03:49:53 PM,41.945466899,-87.663974392,"(41.945466899, -87.663974392)"
10897058,JA208137,04/01/2017 01:41:00 AM,015XX N KINGSBURY ST,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,BAR OR TAVERN,true,false,1822,018,32,8,08B,1169525,1910220,2017,04/08/2017 03:49:53 PM,41.909152038,-87.652675042,"(41.909152038, -87.652675042)"
10897041,JA208115,04/01/2017 01:43:00 AM,041XX N PULASKI RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,true,1723,017,39,16,08B,1148983,1927256,2017,04/08/2017 03:49:53 PM,41.956322821,-87.727695278,"(41.956322821, -87.727695278)"
10897793,JA208140,04/01/2017 01:50:00 AM,058XX S KEDZIE AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESTAURANT,false,false,0824,008,14,63,26,1156052,1865650,2017,04/08/2017 03:49:53 PM,41.787129567,-87.703369853,"(41.787129567, -87.703369853)"
10897039,JA208139,04/01/2017 01:50:00 AM,048XX N RIDGEWAY AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1712,017,39,14,03,1150516,1931902,2017,04/08/2017 03:49:53 PM,41.969041901,-87.721937667,"(41.969041901, -87.721937667)"
10897038,JA208113,04/01/2017 01:50:00 AM,0000X W 69TH ST,0560,ASSAULT,SIMPLE,CTA STATION,false,false,0731,007,6,69,08A,1177279,1859276,2017,04/08/2017 03:49:53 PM,41.769185486,-87.625732415,"(41.769185486, -87.625732415)"
10897106,JA208196,04/01/2017 01:54:00 AM,021XX N LATROBE AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,true,false,2515,025,37,19,11,1141040,1913656,2017,04/08/2017 03:49:53 PM,41.919153399,-87.757232109,"(41.919153399, -87.757232109)"
10896995,JA208118,04/01/2017 01:55:00 AM,005XX W ERIE ST,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1831,018,42,8,03,1172430,1904681,2017,04/08/2017 03:49:53 PM,41.893888962,-87.642167412,"(41.893888962, -87.642167412)"
10898142,JA208520,04/01/2017 01:58:00 AM,033XX N SEMINARY AVE,0810,THEFT,OVER $500,VEHICLE - OTHER RIDE SERVICE,false,false,1924,019,44,6,06,1168355,1922438,2017,04/08/2017 03:49:53 PM,41.942704264,-87.656618847,"(41.942704264, -87.656618847)"
10901743,JA213349,04/01/2017 02:00:00 AM,014XX N CENTRAL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),false,false,2531,025,29,25,14,,,2017,04/08/2017 03:49:53 PM,,,
10900707,JA211259,04/01/2017 02:00:00 AM,042XX S DR MARTIN LUTHER KING JR DR,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,RESIDENCE,false,true,0213,002,3,38,20,,,2017,04/08/2017 03:49:53 PM,,,
10897724,JA209003,04/01/2017 02:00:00 AM,062XX S EBERHART AVE,0810,THEFT,OVER $500,APARTMENT,false,false,0313,003,20,42,06,1180650,1863845,2017,04/08/2017 03:49:53 PM,41.781646505,-87.613235784,"(41.781646505, -87.613235784)"
